title,jobFunction
operational excellence specialist,operations management
medical representative maadi,medical healthcare pharmaceutical sales retail
resident engineer iti,engineering telecom technology it software development
sales manager eicher bus al futtaim dubai,engineering mechanical electrical sales retail
marketing executive internship,media journalism publishing marketing pr advertising writing editorial
search engine optimization ( seo ) specialist,marketing pr advertising media journalism publishing
technical architect engineer,nan
senior partnerships specialist,marketing pr advertising business development
mechanical production engineer,engineering mechanical electrical
receptionist dokki,administration
qa engineer,quality it software development
digital marketing specialist ecommerce,media journalism publishing marketing pr advertising
senior local purchasing specialist,logistics supply chain purchasing procurement
microsoft architect,it software development engineering construction civil architecture engineering telecom technology
office manager alexandria,administration
riseup tunisia react application developerge a.a,it software development engineering telecom technology
hse engineer,r & d science quality engineering other
sr. ios mobile developer,engineering telecom technology it software development
product specialist mansoura,medical healthcare pharmaceutical sales retail
customer service showroom representative hurghada resident,customer service support
receptionist nasr city,administration
procurement specialist,purchasing procurement
frontend developer ( react reactnative ),it software development engineering telecom technology
it system developer,installation maintenance repair it software development
senior backend developer,engineering telecom technology it software development
medical conferences sales manager,operations management sales retail business development
customer support engineer,engineering telecom technology engineering mechanical electrical
quality control specialist alexandria plastic,manufacturing production quality
software tester monufya,quality engineering telecom technology it software development
english teacher dokki,training instructor education teaching
senior logistics specialist,logistics supply chain
senior frontend developer ( react reactnative ),it software development engineering telecom technology
head center excellence me north,it software development sales retail
fleet maintenance engineer,engineering mechanical electrical installation maintenance repair
sales specialist information technology,sales retail
client relations executive,customer service support
android developer alexandria,engineering telecom technology it software development
full stack .net developer,it software development engineering telecom technology
medical representative,r & d science pharmaceutical sales retail
assessment & data assistant,education teaching administration
product specialist haram,medical healthcare pharmaceutical sales retail
senior sales engineer cctv & security systems,sales retail engineering mechanical electrical
back up it engineer,installation maintenance repair it software development
ionic application developer ( hybrid mobile applications ),it software development engineering telecom technology
directeur ( trice ) pédagogique adjoint ( e ),operations management education teaching
english teacher nasr city,training instructor education teaching
customer service & after sales representative,customer service support sales retail
senior .net developer ( outsource ) jeddah,it software development engineering telecom technology
digital marketing & content writer specialist,marketing pr advertising writing editorial media journalism publishing
mechanical design engineer ( immediately joining ),engineering mechanical electrical creative design art
procurement manager,purchasing procurement engineering construction civil architecture
senior mechanical product engineer ( production design r & d ),engineering mechanical electrical manufacturing production r & d science
mobile developer react native,engineering telecom technology it software development
english instructor mohandesin th october,training instructor education teaching
purchases representative,purchasing procurement
technical office engineer ( wood industry ),creative design art manufacturing production
junior admin & purchasing officer ( office & facility ),administration purchasing procurement
writer editor,media journalism publishing writing editorial
software sales representative,sales retail
senior full stack developer alexandria,it software development engineering telecom technology
kindergarten teaching trainer,training instructor education teaching
senior php web developer,engineering telecom technology it software development
call center & customer service representative,customer service support
asp.net full stack developer,engineering telecom technology it software development
full stack java developer,it software development engineering telecom technology
school doctor,medical healthcare
sales adviser facilities management,administration marketing pr advertising sales retail
student affairs manager,administration
store keeper,logistics supply chain
associate business research,operations management analyst research administration
medical call center approval doctor pharmacist,medical healthcare pharmaceutical customer service support
digital marketing entrepreneur opportunity in tunisia ge,media journalism publishing analyst research marketing pr advertising
advertising sales executive,media journalism publishing marketing pr advertising sales retail
graphic designer india ge,creative design art
product owner alexandria,marketing pr advertising engineering telecom technology it software development
purchasing agent,purchasing procurement
security manager مدير امن,legal administration
web development team leader ( node.js ),it software development engineering telecom technology
system engineer cloud services,engineering telecom technology it software development
product owner riyadh,engineering telecom technology it software development analyst research
sales account executive manager,customer service support sales retail
digital marketing & sales internship,media journalism publishing marketing pr advertising sales retail
hr & admin associate,human resources administration
mobile maintenance technician aswan,installation maintenance repair
senior ruby on rails developer remotely,it software development engineering telecom technology
software developer india ge,engineering telecom technology it software development
senior frontend developer ( angular ),engineering telecom technology it software development
sales & supply support specialist | ikea | dubai,customer service support sales retail
cashier accountant,accounting finance
financial manager auditing & software,accounting finance
sr . talent management specialist,human resources manufacturing production
tech . office mechanical engineer,engineering mechanical electrical
delta area manager,sales retail medical healthcare pharmaceutical
customer service supervisor,customer service support
senior d exhibition designer,creative design art
ai machine learning instructor,engineering telecom technology training instructor it software development
direct material purchasing manager sharqia,purchasing procurement operations management
head of business development,media journalism publishing operations management business development
outdoor marketing agent,media journalism publishing marketing pr advertising
marketing ge internship india,marketing pr advertising media journalism publishing
frontend developer ( midlevel ),engineering telecom technology it software development
logistic assistant executive assistant,logistics supply chain administration
senior ai & automation business analyst,engineering telecom technology it software development analyst research
full stack javascript developer,it software development engineering telecom technology
senior wordpress developer,engineering telecom technology it software development
communication officer,marketing pr advertising media journalism publishing
web & software developer,it software development engineering telecom technology
english instructor maadi helwan,training instructor education teaching
front end developer ( react react native ),it software development engineering telecom technology
supply chain manager sharqia,logistics supply chain operations management
seo sem specialist,media journalism publishing marketing pr advertising
senior accounting executive,accounting finance
linux support engineer l,engineering telecom technology it software development
it & maintenance specialist,installation maintenance repair it software development
industry value advisor expert telco & utilities me north,engineering telecom technology
quality control software testing engineer,it software development quality
math & science teacher,education teaching
senior foreign purchasing specialist,logistics supply chain purchasing procurement
database web developer,engineering telecom technology it software development
senior telesales agent,sales retail
quality control manager alexandria plastic,manufacturing production quality
hardware engineer,engineering telecom technology it software development
mobile maintenance technician suez,installation maintenance repair
network affiliate specialist ( digital marketing ),customer service support marketing pr advertising business development
php developer internship,it software development engineering telecom technology
local purchasing section head,logistics supply chain purchasing procurement
lighting engineer,engineering mechanical electrical
customer relations manager,operations management customer service support sales retail
chairman personal assistant,administration
property sales consultant real estate,sales retail
digital content creator,media journalism publishing marketing pr advertising writing editorial
kg class teacher,education teaching
assistant to the business development manager,administration
senior data science specialist,engineering telecom technology analyst research it software development
backend developer,it software development engineering telecom technology
rpa support engineer,it software development engineering telecom technology operations management
planning section head,logistics supply chain operations management
head department english,education teaching
hr manager schools dubai,human resources
senior estimation engineer,nan
digital marketing supervisor,media journalism publishing marketing pr advertising
assistant store manager,customer service support sales retail
retail operations manager,operations management sales retail
operations engineer ( devops ),operations management engineering telecom technology it software development
i.c.t teacher,education teaching it software development
software development team leader alexandria,it software development engineering telecom technology
mobile maintenance technician faisal,installation maintenance repair
rpa testing engineer,it software development engineering telecom technology quality
high school maths teacher,education teaching
devops specialist,engineering telecom technology it software development
creative content marketer assiut,media journalism publishing marketing pr advertising writing editorial
home room teacher foundation & elementary stages,education teaching
receptionist medical lab,customer service support medical healthcare administration
planning manager,engineering construction civil architecture
sales and marketing manager,operations management marketing pr advertising sales retail
mobile maintenance technician shubra,installation maintenance repair
home room teacher year ( th october ),education teaching
senior executive secretary,administration
arabic teacher,education teaching
eastern european markets sales executive,marketing pr advertising sales retail
senior qaautomation testing engineer,it software development engineering telecom technology quality
plant ( factory manager ) port said,operations management manufacturing production engineering mechanical electrical
preschool english teacher new cairo,education teaching
head accounting department,accounting finance
physics biology chemistry teacher american system,education teaching r & d science
medical lab chemist,medical healthcare r & d science
senior javaee developer,it software development engineering telecom technology
sales specialist ( english speaker ),sales retail customer service support
senior architect,engineering construction civil architecture creative design art
senior maintenance engineer electrical power,installation maintenance repair engineering mechanical electrical
open source r & d engineer,engineering telecom technology installation maintenance repair it software development
coteacher,education teaching
content marketing manager,marketing pr advertising creative design art
financial accountant th ramadan,accounting finance
junior software quality control engineer,quality it software development engineering telecom technology
district maintenance manager,installation maintenance repair engineering mechanical electrical
senior graphic designer,creative design art
senior customer engagement executive hcm riyadh,customer service support sales retail
teacher for toddlers class,education teaching
accountant internship,accounting finance
healthcare consultant,project program management customer service support
seo specialist video & mobile apps,media journalism publishing marketing pr advertising
mobile maintenance technician nasr city,installation maintenance repair
ks primary checkpoint science teacher,education teaching r & d science
technical office engineer switchboard,engineering mechanical electrical
freelance crm developer,engineering telecom technology it software development
language teacher ( german french spanish italian english ),education teaching
senior mechanical engineer north coast,installation maintenance repair engineering mechanical electrical project program management
telecom site engineer cm & pm,it software development installation maintenance repair engineering telecom technology
sap fico consultant,accounting finance engineering telecom technology it software development
python developer ( erp next ),engineering telecom technology it software development
marketing specialist ( social media ),marketing pr advertising media journalism publishing analyst research
front end web developer,it software development engineering telecom technology
educational content administrator,creative design art education teaching
medical approval officer rotational shifts,medical healthcare pharmaceutical administration
business graduates internship alexandria,logistics supply chain purchasing procurement human resources
erp analyst,it software development analyst research
software engineering intern alexandria,it software development engineering telecom technology
senior document controller,it software development engineering telecom technology
senior erp software tester,quality engineering telecom technology it software development
arabic translation reviewer,writing editorial
developer for contact center technologies,it software development engineering telecom technology
structural engineer ( design ),engineering construction civil architecture
mobile development team leader ( ios android ),it software development engineering telecom technology
administration assistant,administration
people culture associate ( hr ),human resources
sales operations coordinator automotive,sales retail operations management
react native mobile developer,it software development engineering telecom technology
foundation stage homeroom teacher ( native speaker of english ),education teaching
senior game developer,engineering telecom technology it software development
call center representative ( customer service ),sales retail customer service support
internal audit manager,accounting finance
students marketing executive,marketing pr advertising
junior mechanical plumbing engineer revit,engineering mechanical electrical
pyp coteacher,education teaching
sr. pcs manager,operations management project program management engineering construction civil architecture
medical representative indoor sales,medical healthcare customer service support sales retail
junior data analyst,analyst research
english instructor mansoura,education teaching training instructor
php full stack developer laravel,it software development engineering telecom technology
english content writer,writing editorial
project engineer,engineering construction civil architecture engineering mechanical electrical
subcontract accountant,nan
presales business architect oil & gas public sector,it software development sales retail
preschool english teacher shorouk city,education teaching
visiting doctor specialist,marketing pr advertising medical healthcare
software presales manager,it software development engineering telecom technology sales retail
administrative assistant alexandria,administration
english instructors th october,education teaching training instructor
full stack .net developer,it software development engineering telecom technology
discover graduate program,business development
sales team leader ( real estate ),customer service support sales retail
senior r & d engineer ( led lighting ),r & d science
senior software technical support,installation maintenance repair it software development customer service support
english instructors shubra & maadi,training instructor education teaching
sales representative mansoura,sales retail
senior digital marketing specialist alexandria,media journalism publishing marketing pr advertising
maintenance engineer alexandria,installation maintenance repair engineering mechanical electrical
business teacher,education teaching
central planning engineer,engineering construction civil architecture
junior rpa project manager,it software development engineering telecom technology project program management
english instructors,education teaching training instructor
salesforce.com tech . lead,engineering telecom technology it software development
senior active directory security engineer,engineering telecom technology it software development
civil technical office engineer,engineering construction civil architecture
mobile maintenance technician helwan,installation maintenance repair
golang developer,it software development engineering telecom technology
sap sd tm consultant,it software development engineering telecom technology
salesforce.com developer,engineering telecom technology it software development
medical specialist alexandria,pharmaceutical analyst research r & d science
senior motion graphic designer animator,creative design art
operations assistant foreigners only,administration
biology teacher,education teaching
indoor sales agent pharmaceuticals,sales retail pharmaceutical
senior vmware security engineer,engineering telecom technology it software development
medical marketing manager,media journalism publishing marketing pr advertising medical healthcare
electromechanical site engineering consultant,engineering mechanical electrical project program management
quality control supervisor,quality pharmaceutical manufacturing production
windows system engineer,it software development engineering telecom technology
backend development team leader,it software development engineering telecom technology
general manager,media journalism publishing
senior sales representative real estate,sales retail customer service support
data modeler,it software development engineering telecom technology
maintenance section head ( after sales service ),installation maintenance repair engineering mechanical electrical
telesales agents ( fixed shift us account ),sales retail customer service support
senior bi engineer,engineering telecom technology it software development analyst research
senior moveroot engineer,engineering telecom technology it software development
medical quality manager,quality medical healthcare
financial advisor,sales retail
mechanical maintenance section head,engineering mechanical electrical manufacturing production installation maintenance repair
investor relations senior analyst,accounting finance analyst research
design electrical engineer,engineering mechanical electrical creative design art
business analyst automation,it software development analyst research
cnc production engineer beni suef,engineering mechanical electrical manufacturing production
english instructor adults th of october ( part time ),education teaching training instructor
php developer with laravel,it software development engineering telecom technology
telemarketing advisor ( fixed shift us account ),sales retail marketing pr advertising customer service support
property consultant sales real estate,sales retail customer service support
warehouse material controller,logistics supply chain
junior sales representative real estate,sales retail customer service support
interior finishes supervisor,nan
senior technical support engineer,installation maintenance repair engineering telecom technology it software development
production engineer furniture,engineering construction civil architecture creative design art manufacturing production
ceo admin planning & following,administration
marketing advisor,marketing pr advertising media journalism publishing
customer relationship officer indoor sales,administration customer service support sales retail
german language instructor alexandria,education teaching
internal auditor sharqia,accounting finance
electrical ( shop drawing ) engineer,engineering mechanical electrical
construction operations manager,nan
demand planner,logistics supply chain analyst research
science and social studies teacher,education teaching
hr supervisor al sadat city,human resources
sales specialist real estate,sales retail
senior full stack developer ( nodejs ),engineering telecom technology it software development
english arabic copywriter,media journalism publishing marketing pr advertising writing editorial
design section head ( tools & dies ),engineering mechanical electrical creative design art manufacturing production
senior .net developer wpf,it software development engineering telecom technology
copy center supervisor,administration
imports logistics manager,logistics supply chain purchasing procurement
insurance specialist,sales retail
business partner,marketing pr advertising business development
managing director kuwait,sales retail
export operations specialist,logistics supply chain operations management
educational coordinator,administration education teaching
technical team leader ( nodejs ),engineering telecom technology it software development operations management
asp .net developer,it software development engineering telecom technology
sales engineer combustion equipment & boiler rooms,nan
import specialist,logistics supply chain purchasing procurement
software developer ( experienced ),it software development engineering telecom technology engineering mechanical electrical
teacher intern india,education teaching
site engineer finishes fit out,project program management engineering construction civil architecture
technical office engineer civil & architecture,nan
senior maintenance engineer,installation maintenance repair engineering mechanical electrical
senior sales team leader erp software,it software development sales retail
tourism operations manager,tourism travel operations management
software presales engineer,sales retail it software development engineering telecom technology
marketing supervisor real esate,media journalism publishing marketing pr advertising
quality engineer al sadat city,manufacturing production engineering other quality
account manager ( advertising ),sales retail
science content developer,r & d science education teaching writing editorial
technical office engineer steel structure,engineering construction civil architecture creative design art
mechanical design engineer,project program management engineering mechanical electrical
medical representative ( giza ),sales retail medical healthcare
spa supervisor,hospitality hotels food services operations management
a r accountant,nan
quality assurance specialist,quality
frontend react & reactnative developer,engineering telecom technology it software development
technical support engineer ( software ),it software development engineering telecom technology customer service support
merchandiser knitting,fashion logistics supply chain purchasing procurement
physiotherapist,medical healthcare
junior payable accountant,accounting finance
facility electrical engineer,installation maintenance repair engineering mechanical electrical
documentation control manager construction,nan
senior front endweb developer,it software development engineering telecom technology
technical manager mobile app,engineering telecom technology it software development
general manager facility management company,engineering construction civil architecture operations management clevel executive gm director
assistant sales manager,sales retail business development
sales low current engineer,sales retail engineering mechanical electrical
software quality tester,it software development engineering telecom technology quality
junior mechanical engineer,engineering mechanical electrical
php full stack developer,it software development engineering telecom technology
export sales specialist,sales retail
regional financial manager,banking accounting finance
master planning development engineer,engineering construction civil architecture
sivvi customer service representative,customer service support
agriculture engineer real estate,nan
ember.js developer,it software development engineering telecom technology
senior light current engineer,engineering mechanical electrical
telesales executive,sales retail
travel consultant,customer service support tourism travel
homeroom teacher ( native speaker of english ),education teaching training instructor
medical buyer specialist,purchasing procurement logistics supply chain
market research executive,marketing pr advertising analyst research
production engineer al sadat city,manufacturing production engineering other
.net sharepoint technical lead,engineering telecom technology it software development
primary teacher ( mathematics ) india,education teaching
software sales executive ( indoor ),it software development engineering telecom technology sales retail
sales analyst,accounting finance analyst research
admin assistant sheikh zayed,administration
organization development manager,human resources
foundation stage class teacher ( native speaker of english ),education teaching
projects sales engineer,nan
presales engineer,it software development
technical development team leader,engineering telecom technology it software development
senior erp application consultant implementation,it software development analyst research accounting finance
french teacher in india gt,education teaching
quality manager mechanical,quality engineering mechanical electrical
workshop manager,engineering mechanical electrical installation maintenance repair
application consultant ( microsoft dynamics ax ),installation maintenance repair it software development engineering telecom technology
stem educators & robotics trainers mansoura,engineering telecom technology training instructor it software development
online teacher,education teaching
web mobile developer,it software development engineering telecom technology
contracts engineer,engineering other engineering construction civil architecture
sales & marketing engineer,marketing pr advertising engineering mechanical electrical sales retail
sr. java backend developer lead,it software development engineering telecom technology
head mh & crane maintenance ( drp smp ),installation maintenance repair engineering mechanical electrical
senior compensation & benefits specialist,human resources
architectural site engineer,nan
doctor kuwait,medical healthcare
elearning specialist,business development it software development customer service support
stock controller,logistics supply chain purchasing procurement
.net team leader mvc,it software development engineering telecom technology
industrial cost accountant alexandria,accounting finance
maintenance manager monufya,installation maintenance repair engineering mechanical electrical
import coordinator,logistics supply chain
it support executive,installation maintenance repair customer service support it software development
information systems senior quality assurance consultant,quality engineering telecom technology it software development
content creator ( medical ) cairo,media journalism publishing marketing pr advertising writing editorial
technical support engineer it fresh,installation maintenance repair engineering telecom technology it software development
hr generalist alexandria,human resources
mechanical tendering engineer ( hvac fire fighting plumbing ),engineering mechanical electrical
commercial real estate sales property consultant,sales retail
midsenior .net web developer monufya,engineering telecom technology it software development
it help desk support,customer service support it software development installation maintenance repair
senior graphic designer alexandria,creative design art
sap implementation project support coordinator alexandria,it software development engineering telecom technology
plant manager,operations management manufacturing production
warehouse manager,nan
marketing insights data lead,marketing pr advertising
motion graphic designer alexandria,creative design art media journalism publishing
customer relations management executive ( hurghada ),customer service support
ms dynamics ax developer,engineering telecom technology it software development
junior front end web developer angular,it software development engineering telecom technology
front end developer ux ui,it software development engineering telecom technology
human resources business partner,administration human resources
medical approval officer rotational shifts,administration medical healthcare pharmaceutical
civil site engineer,nan
care center agent medical insurance,customer service support medical healthcare
senior software engineer ( android lead ),it software development engineering telecom technology
secretary alexandria,administration
biomedical sales engineer assiut,sales retail engineering mechanical electrical engineering other
front desk agent,administration customer service support
logistics administrator alexandria,logistics supply chain
system analyst alexandria,analyst research engineering telecom technology it software development
emr specialist science pharmacist,medical healthcare pharmaceutical r & d science
opentext ecm developer,engineering telecom technology it software development
shipping warehouse supervisor,logistics supply chain
procurement material engineer,purchasing procurement engineering construction civil architecture
quality control specialist chemist,nan
medical call center approval doctor pharmacist males preferred,customer service support medical healthcare pharmaceutical
office manager secretary,administration
marketing community manager,marketing pr advertising media journalism publishing
senior system administrator alexandria,installation maintenance repair engineering telecom technology it software development
lsa infrastructure engineer alexandria,installation maintenance repair engineering telecom technology it software development
production supervisor,quality manufacturing production
erp client care officer,customer service support
patient accountant,accounting finance
senior odoo implementer functional consultant,it software development
administrator ( ielts tests center ),administration education teaching
sap project manager monufya,project program management it software development
visual merchandiser | ikea | cairo festival city,creative design art engineering construction civil architecture
sales engineer civil,sales retail customer service support
data entry clerk,administration
senior legal specialist,legal
system engineer ( implementer ),engineering telecom technology it software development
biology content developer,education teaching pharmaceutical writing editorial
business coordinator,business development
warehouse section head,logistics supply chain operations management
service engineer alexandria,installation maintenance repair engineering other
local purchasing specialist,logistics supply chain purchasing procurement
.net web application developer,engineering telecom technology it software development
production engineer ( plastic ) alexandria,engineering other manufacturing production
reservations accountant,accounting finance
developer success factors hcm dubai,engineering telecom technology it software development
projects director engineer coo,nan
sales automation engineer,engineering mechanical electrical sales retail
technical support representative software,it software development engineering telecom technology installation maintenance repair
senior public relation ( it & software background ),it software development marketing pr advertising
supply chain planner,logistics supply chain administration
quraan quality assurance representative,quality training instructor education teaching
receptionist & customer service agent,administration customer service support
investor relations coordinator,business development project program management
senior sales engineer ( lighting ),engineering mechanical electrical sales retail
senior local purchasing engineer,logistics supply chain purchasing procurement engineering mechanical electrical
telesales agents ( fixed night shift ),customer service support sales retail
business executive assistant,administration
junior general accountant,accounting finance
cfo background manufacturing fmcg,accounting finance operations management
sales account manager ( digital marketing services ),business development marketing pr advertising sales retail
power bi data analyst ( with mysql ),engineering telecom technology it software development analyst research
senior software c++ engineer,it software development engineering telecom technology
production manager ( chemical building materials ),manufacturing production
embedded sw developer,it software development engineering telecom technology
sales & account manager ( real estate medical ) assiut,sales retail customer service support business development
digital media planner,marketing pr advertising
physicians nurses and operations managers,operations management administration medical healthcare
application section head,pharmaceutical it software development
senior full stack developer ( asp.net ),it software development engineering telecom technology
real estate sales executive ( experience new cairo ),sales retail
sales assistant ted baker mall arabia,customer service support sales retail
outdoor sales engineer,sales retail engineering mechanical electrical
it instructor,it software development training instructor
technical office finishing engineer,nan
marketing specialist assiut,marketing pr advertising media journalism publishing
senior it security specialist,engineering telecom technology it software development
import & export officer,logistics supply chain purchasing procurement
property advisor ( sales real estate ),sales retail
english instructor for kids fridays & saturdays,education teaching
events sales executive,sales retail
junior sales account manager,sales retail it software development
quality team leader,quality
presales business architect uae,engineering telecom technology sales retail
personnel supervisor,human resources
assistant manager government relations real estate,administration
it specialist alexandria,engineering telecom technology installation maintenance repair it software development
technical office engineer electrical,nan
sales property consultant,sales retail
full stack developer php,engineering telecom technology it software development
flutter mobile developer alexandria,it software development engineering telecom technology project program management
senior exhibition designer,creative design art
quality manager,quality
maintenance engineer th of october city,engineering mechanical electrical installation maintenance repair
technical team leader professional services,it software development engineering telecom technology
electrical technical office engineer,nan
sales team leader real estate,sales retail
export sales engineer,sales retail logistics supply chain engineering construction civil architecture
senior ionic mobile applications developer alexandria,it software development engineering telecom technology
digital media specialist,media journalism publishing marketing pr advertising
sales representative sharqia,sales retail
country account manager,marketing pr advertising sales retail customer service support
dental assistant,medical healthcare
senior d environment modeler,creative design art engineering telecom technology
head of english department sharqia,education teaching
english language teacher ( esl ),education teaching
sales assistant | homeworks | cairo festival city,customer service support sales retail
senior software sales rep. erp,it software development sales retail
quality assurance engineer,it software development engineering telecom technology quality
technical office mechanical engineer,nan
technical quality manager ( tqm ),quality engineering telecom technology it software development
vmware vrealize automation and nsx engineer,engineering telecom technology it software development installation maintenance repair
sales account manager engineering ( selling hp plotters ),engineering construction civil architecture engineering oil & gas energy sales retail
warehouse chief,logistics supply chain
executive coordinator assiut,administration
projects director,project program management engineering construction civil architecture
field support engineer,customer service support engineering mechanical electrical installation maintenance repair
deputy general manager nursing & operators,operations management medical healthcare
odoo consultant,it software development engineering telecom technology
networks & infrastructure section head,operations management installation maintenance repair it software development
seo & google adwords specialist,media journalism publishing marketing pr advertising
elementary english teacher,education teaching
dentist specialist,medical healthcare
sales engineer alexandria,engineering mechanical electrical sales retail
english instructor for kids part time,education teaching training instructor
installation engineer,installation maintenance repair engineering construction civil architecture engineering mechanical electrical
coteacher ( elementary ),education teaching
python django senior developer,it software development engineering telecom technology
medical sales representative alexandria,medical healthcare sales retail
steel design engineer,engineering other creative design art engineering construction civil architecture
help desk engineer ( smart village ),installation maintenance repair it software development
quality specialist,quality medical healthcare
software quality automation engineer,engineering telecom technology it software development quality
technology team leader,engineering telecom technology it software development
color center executive,creative design art
senior digital advertiser,marketing pr advertising media journalism publishing
sales admin real estate,administration
site electrical engineer,nan
customer service head,customer service support
sales ِengineer,engineering construction civil architecture sales retail
nurses,medical healthcare
costing head ash,accounting finance
home room teacher foundation stage th october,education teaching
structural engineer ( purchasing ),engineering construction civil architecture purchasing procurement
senior pm cs consultant,it software development
sales manager armored doors,sales retail
application consultant ( fresh ),installation maintenance repair it software development engineering telecom technology
ui ux designer,it software development engineering telecom technology creative design art
warehouse operative,nan
school operations coordinator th october,administration
sales account excutive,sales retail
translator,writing editorial
financial controlling specialist alexandria ( outsource ),accounting finance
consultant ( for saudi arabia ),medical healthcare
hr assistant,human resources
public relations representative intern,analyst research marketing pr advertising media journalism publishing
logistics & customer service specialist alsadat city,logistics supply chain customer service support
inventory management coordinator,engineering mechanical electrical logistics supply chain
java full stack developer,it software development engineering telecom technology
it infrastructure specialist,installation maintenance repair it software development engineering telecom technology
electronics hardware design engineer,engineering telecom technology creative design art manufacturing production
erp trainee unpaid internship,customer service support it software development accounting finance
accountant tanta,accounting finance
pharmacist marketing agent outdoor,pharmaceutical sales retail marketing pr advertising
ophthalmology consultant saudi arabia,medical healthcare
mechanical engineer alexandria,engineering mechanical electrical
product photographer,media journalism publishing creative design art
senior data security analyst,strategy consulting it software development engineering telecom technology
senior scm tm ewm consultant,logistics supply chain
assistant maintenance manager ( rolling mill ) mechanical maintenance,installation maintenance repair engineering mechanical electrical
head finance,accounting finance
property consultant ( sales real estate ),sales retail
qc engineer manual testing,it software development engineering telecom technology quality
oracle dba ( database admin ) maadi,it software development administration
site civil engineer industrial mega projects,nan
civil & architectural consultant,engineering construction civil architecture
iso business continuity consultant,strategy consulting it software development engineering telecom technology
testing balancing department head hvac,engineering mechanical electrical project program management quality
financial planning & analysis associate,accounting finance analyst research
marketing director real estate,media journalism publishing marketing pr advertising
senior operations specialist,operations management administration
campaign manager,marketing pr advertising media journalism publishing
hr specialist ( od & training specialist ),human resources
travel counselor,customer service support sales retail tourism travel
graphic designer art visualiser,creative design art
senior managed services consultant,operations management it software development strategy consulting
senior financial supply chain management ( fscm ) consultant,accounting finance
senior administrative officer,logistics supply chain operations management administration
property manager,administration operations management
paid media buyer,marketing pr advertising analyst research media journalism publishing
senior php symfony developer,it software development engineering telecom technology
web developer alexandria,engineering telecom technology it software development
electromechanical procurement engineer,nan
sales production engineer ( sheet metal ),manufacturing production engineering mechanical electrical sales retail
testing balancing engineer hvac,engineering mechanical electrical quality
hr officer,human resources
guest relations supervisor alexandria,customer service support
supply chain order handling executive french speaker,logistics supply chain
injection & molding shift leader,engineering mechanical electrical manufacturing production quality
warehouse officer,logistics supply chain
web designer alexandria,engineering telecom technology creative design art it software development
junior project engineer,engineering construction civil architecture project program management
architect interior designer,nan
technical office manager ( furniture industry ),manufacturing production engineering construction civil architecture creative design art
human resources clerk,human resources
senior hvac service engineer central air condition,engineering mechanical electrical sales retail
sales representative ( color copiers machines ),customer service support sales retail
senior devops,it software development engineering telecom technology
embedded system engineer,it software development engineering mechanical electrical
